band,mean_value
B01,1598.9780967053416
B02,1712.7582080582683
B03,1959.5077703956333
B04,1886.1782815442318
B05,2343.814254273064
B06,3451.8305948237667
B07,3840.5578542889757
B08,4015.15821551581
B8A,4034.6686410207612
B09,4080.3744359410243
B11,3213.6909679042137
B12,2521.3332947750755
